"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model1",0,0,179.16679224883,22.3536015050997,54.1852963529441,9.82303156300002,-358.33358449766,44.7072030101994
"model2",-36.7681598636842,14.622862632352,142.398632385146,16.2263863430274,8.93834302988788,2.1064948867074,-284.797264770292,32.4527726860549
"model3",-49.8410551930858,17.4495342071727,129.325737055744,16.7205993901036,5.8863907082145,1.30037639349236,-258.651474111489,33.4411987802072
